"統計期","捷運站別","進站人次","出站人次","進站人次增減率[%]","出站人次增減率[%]"
"89年","市政府",8930012,9211186,5827.65,5369.76
"89年","永春",26307,22049,0,0
"89年","後山埤",20569,17956,0,0
"89年","昆陽",27702,27418,0,0
"89年","南港",0,0,0,0
"89年","南港展覽館BL",0,0,0,0
"89年","象山",0,0,0,0
"89年","台北101/世貿",0,0,0,0
"89年","信義安和",0,0,0,0
"89年","大安R",0,0,0,0
"89年","大安森林公園",0,0,0,0
"89年","北門",0,0,0,0
"89年","中山G",0,0,0,0
"89年","松江南京G",0,0,0,0
"89年","南京復興G",0,0,0,0
"89年","台北小巨蛋",0,0,0,0
"89年","南京三民",0,0,0,0
"89年","松山",0,0,0,0
"89年","輔大",0,0,0,0
"89年","新莊",0,0,0,0
"89年","頭前庄",0,0,0,0
"89年","先嗇宮",0,0,0,0
"89年","三重",0,0,0,0
"89年","菜寮",0,0,0,0
"89年","台北橋",0,0,0,0
"89年","大橋頭",0,0,0,0
"89年","民權西路O",0,0,0,0
"89年","中山國小",0,0,0,0
"89年","行天宮",0,0,0,0
"89年","松江南京O",0,0,0,0
"89年","忠孝新生O",0,0,0,0
"89年","東門",0,0,0,0
"89年","蘆洲",0,0,0,0
"89年","三民高中",0,0,0,0
"89年","徐匯中學",0,0,0,0
"89年","三和國中",0,0,0,0
"89年","三重國小",0,0,0,0
"89年","迴龍",0,0,0,0
"89年","丹鳳",0,0,0,0
"89年","大坪林Y",0,0,0,0
"89年","十四張",0,0,0,0
"89年","秀朗橋",0,0,0,0
"89年","景平",0,0,0,0
"89年","景安Y",0,0,0,0
"89年","中和",0,0,0,0
"89年","橋和",0,0,0,0
"89年","中原",0,0,0,0
"89年","板新",0,0,0,0
"89年","板橋Y",0,0,0,0
"89年","新埔民生",0,0,0,0
"89年","頭前庄Y",0,0,0,0
"89年","幸福",0,0,0,0
"89年","新北產業園區",0,0,0,0
"89年","一日票",3969911,3969911,518.31,518.31
"89年","團體票",0,0,0,0
"89年","其他",0,0,0,0
"90年","松山機場",0,0,0,0
"90年","中山國中",5084978,4716323,7.05,6.21
"90年","南京復興BR",5621138,5792527,4.46,5.16
"90年","忠孝復興BR",1832978,1967250,33.16,27.97
"90年","大安BR",3799700,3852099,4.61,6.01
"90年","科技大樓",3153883,2983133,3.98,4.17
"90年","六張犁",2855965,2645206,2.21,2.31
"90年","麟光",1101366,987037,2.41,-0.67
"90年","辛亥",932416,803704,2.38,0.36
"90年","萬芳醫院",3478109,3721993,4.15,5.83
"90年","萬芳社區",766375,634829,1.17,-1.14
"90年","木柵",1460820,1566310,1.63,3.63
"90年","動物園",1971909,2086086,2.90,1.48
"90年","大直",0,0,0,0
"90年","劍南路",0,0,0,0
"90年","西湖",0,0,0,0
"90年","港墘",0,0,0,0
"90年","文德",0,0,0,0
"90年","內湖",0,0,0,0
"90年","大湖公園",0,0,0,0
"90年","葫洲",0,0,0,0
"90年","東湖",0,0,0,0
"90年","南港軟體園區",0,0,0,0
"90年","南港展覽館BR",0,0,0,0
"90年","小碧潭",0,0,0,0
"90年","新店",2801356,2592128,9.83,7.84
